requirement_id,design_sections,acceptance_tests,implementation_phase,status
FR-PRO-001,"16–18, 42–43, 50, 52",AC-PRO-*,Phase 1,Complete
FR-PRO-002,"16–18, 42–43, 50, 52",AC-PRO-*,Phase 1,Complete
FR-PRO-003,"16–18, 42–43, 50, 52",AC-PRO-*,Phase 1,Complete
FR-PRO-004,"16–18, 42–43, 50, 52",AC-PRO-*,Phase 1,Complete
FR-PRO-005,"16–18, 42–43, 50, 52",AC-PRO-*,Phase 1,Complete
FR-PRO-006,"16–18, 42–43, 50, 52",AC-PRO-*,Phase 1,Complete
FR-PRO-007,"16–18, 42–43, 50, 52",AC-PRO-*,Phase 1,Complete
FR-PRO-008,"16–18, 42–43, 50, 52",AC-PRO-*,Phase 1,Complete
FR-PRO-009,"16–18, 42–43, 50, 52",AC-PRO-*,Phase 1,Complete
FR-PRO-010,"16–18, 42–43, 50, 52",AC-PRO-*,Phase 1,Complete
FR-EXP-001,"14, 19, 44–45, 50",AC-EXP-*,Phase 1,Complete
FR-EXP-002,"14, 19, 44–45, 50",AC-EXP-*,Phase 1,Complete
FR-EXP-003,"14, 19, 44–45, 50",AC-EXP-*,Phase 1,Complete
FR-EXP-004,"14, 19, 44–45, 50",AC-EXP-*,Phase 1,Complete
FR-EXP-005,"14, 19, 44–45, 50",AC-EXP-*,Phase 1,Complete
FR-EXP-006,"14, 19, 44–45, 50",AC-EXP-*,Phase 1,Complete
FR-EXP-007,"14, 19, 44–45, 50",AC-EXP-*,Phase 1,Complete
FR-EXP-008,"14, 19, 44–45, 50",AC-EXP-*,Phase 1,Complete
FR-EXP-009,"14, 19, 44–45, 50",AC-EXP-*,Phase 1,Complete
FR-EXP-010,"14, 19, 44–45, 50",AC-EXP-*,Phase 1,Complete
FR-UP-001,"21–22, 45, 48–52",AC-UP-*,Phases 2–3,Complete
FR-UP-002,"21–22, 45, 48–52",AC-UP-*,Phases 2–3,Complete
FR-UP-003,"21–22, 45, 48–52",AC-UP-*,Phases 2–3,Complete
FR-UP-004,"21–22, 45, 48–52",AC-UP-*,Phases 2–3,Complete
FR-UP-005,"21–22, 45, 48–52",AC-UP-*,Phases 2–3,Complete
FR-UP-006,"21–22, 45, 48–52",AC-UP-*,Phases 2–3,Complete
FR-UP-007,"21–22, 45, 48–52",AC-UP-*,Phases 2–3,Complete
FR-UP-008,"21–22, 45, 48–52",AC-UP-*,Phases 2–3,Complete
FR-UP-009,"21–22, 45, 48–52",AC-UP-*,Phases 2–3,Complete
FR-UP-010,"21–22, 45, 48–52",AC-UP-*,Phases 2–3,Complete
